City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
279,Alta Floresta,BR,2022-02-12 16:58:51,-9.8756,-56.0861,78.6,90,93,3.02
280,Viedma,AR,2022-02-12 16:58:51,-40.8135,-62.9967,81.3,15,93,13.11
281,Taltal,CL,2022-02-12 16:58:51,-25.4,-70.4833,71.33,70,6,7.27
282,Sola,VU,2022-02-12 16:58:52,-13.8833,167.55,77.92,82,100,7.76
283,Flinders,AU,2022-02-12 16:58:52,-34.5833,150.8552,65.21,93,97,4.0
284,Tutoia,BR,2022-02-12 16:58:52,-2.7619,-42.2744,89.58,72,96,12.08
285,Pisco,PE,2022-02-12 16:58:52,-13.7,-76.2167,75.02,64,0,6.91
286,Cap Malheureux,MU,2022-02-12 16:58:53,-19.9842,57.6142,81.09,76,78,1.99
287,Kerrville,US,2022-02-12 16:58:53,30.0474,-99.1403,53.11,50,100,14.97
288,Causapscal,CA,2022-02-12 16:58:53,48.3542,-67.227,35.73,100,100,7.52
289,Calca,PE,2022-02-12 16:58:54,-13.3333,-71.95,52.95,88,100,4.54
290,Lundamo,NO,2022-02-12 16:58:54,63.1333,10.3,31.69,89,100,5.26
291,Meadow Lake,US,2022-02-12 16:58:54,34.8014,-106.5436,40.48,48,20,4.85
292,Bloomingdale,US,2022-02-12 16:58:54,27.8936,-82.2404,81.57,32,0,1.01
293,Turan,VN,2022-02-12 16:58:54,16.0678,108.2208,75.18,83,75,4.61
294,Pimentel,PE,2022-02-12 16:58:55,-6.8367,-79.9342,77.29,65,0,4.61
