City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
148,Hovd,MN,48.0056,91.6419,-14.13,77,32,2.66,scattered clouds
149,Mumbwa,ZM,-14.9783,27.0619,63.68,94,89,2.44,overcast clouds
150,Roura,GF,4.7263,-52.3274,79.97,100,0,1.14,clear sky
151,Roald,NO,62.5833,6.1333,37.11,93,100,23.02,overcast clouds
152,Katherine,AU,-14.4667,132.2667,86.32,62,20,5.75,few clouds
153,Broken Hill,AU,-31.95,141.4333,92.25,21,95,11.5,overcast clouds
154,Clyde River,CA,70.4692,-68.5914,-16.37,76,100,20.71,light snow
155,Poum,NC,-20.2333,164.0167,82.96,75,99,10.04,moderate rain
156,Cairns,AU,-16.9167,145.7667,89.06,73,75,21.85,broken clouds
157,Porto Santo,PT,33.072,-16.3415,60.71,72,20,2.3,few clouds
158,Pointe Michel,DM,15.25,-61.3833,77.23,73,3,17.76,clear sky
159,Broome,US,42.2506,-75.833,17.02,71,0,6.91,clear sky
160,Porecatu,BR,-22.7558,-51.3792,84.27,75,44,2.51,scattered clouds
161,Iqaluit,CA,63.7506,-68.5145,-16.31,68,100,3.44,light snow
162,Bayburt,TR,40.2589,40.2278,11.93,85,100,3.53,overcast clouds
163,Vitry-Le-Francois,FR,48.7333,4.5833,50.13,81,100,20.13,overcast clouds
164,Pabrade,LT,55.0,25.7833,28.26,82,100,9.64,overcast clouds
165,Abu Dhabi,AE,24.4667,54.3667,61.97,81,20,6.91,few clouds
166,Bathsheba,BB,13.2167,-59.5167,77.61,73,75,17.27,broken clouds
167,Nushki,PK,29.5542,66.0215,50.54,51,100,2.91,overcast clouds
168,Uyovu,TZ,-3.2833,31.5258,62.56,96,100,4.29,overcast clouds
169,Bay Roberts,CA,47.5999,-53.2648,35.33,80,100,4.0,overcast clouds
170,Boyolangu,ID,-8.1181,111.8935,75.85,91,99,1.52,heavy intensity rain
171,Koumac,NC,-20.5667,164.2833,86.61,64,99,5.03,overcast clouds
172,Kununurra,AU,-15.7667,128.7333,75.18,94,36,4.61,heavy intensity rain
173,Pisco,PE,-13.7,-76.2167,69.85,73,0,16.11,clear sky
174,Pafos,CY,34.7667,32.4167,53.51,71,100,8.05,overcast clouds
175,Cardenas,CU,23.0375,-81.2047,72.36,83,95,16.33,overcast clouds
176,Kudahuvadhoo,MV,2.6708,72.8944,81.36,75,97,7.96,overcast clouds
177,Khatanga,RU,71.9667,102.5,-27.17,100,43,1.88,scattered clouds
178,Constitucion,CL,-35.3333,-72.4167,59.41,89,61,4.36,broken clouds
179,Dolores,AR,-36.3132,-57.6792,57.83,63,6,4.56,light rain
180,Betafo,MG,-19.8333,46.85,59.23,93,16,5.17,few clouds
181,Inuvik,CA,68.3499,-133.7218,-18.89,98,100,7.09,light snow
182,Bethel,US,41.3712,-73.414,27.93,66,100,6.91,overcast clouds
183,Ereymentau,KZ,51.6199,73.1033,7.18,97,100,4.03,overcast clouds
184,Kostomuksha,RU,64.571,30.5767,30.83,97,100,10.87,light snow
185,Buluang,PH,13.3068,123.3425,80.2,79,95,3.51,overcast clouds
186,Tessalit,ML,20.1986,1.0114,61.14,22,23,11.41,few clouds
187,Nouadhibou,MR,20.931,-17.0347,64.76,76,98,19.13,overcast clouds
188,Gaya,IN,24.7833,85.0,50.52,60,0,2.8,clear sky
189,Ayagoz,KZ,47.9714,80.4392,14.09,96,100,1.66,light snow
190,Atuona,PF,-9.8,-139.0333,77.94,78,14,13.6,light rain
191,Ciro Marina,IT,39.3732,17.126,40.86,71,3,5.41,clear sky
192,Ambovombe,MG,-25.1667,46.0833,72.86,89,0,4.5,clear sky
193,Bossangoa,CF,6.4926,17.4552,73.96,20,100,4.16,overcast clouds
194,Belleville,CA,44.1788,-77.3705,8.8,61,100,7.27,overcast clouds
195,Nome,US,64.5011,-165.4064,-2.13,55,0,0.0,clear sky
196,Kruisfontein,ZA,-34.0033,24.7314,66.42,91,100,9.37,light rain
197,Gusinoye Ozero,RU,51.1144,106.2614,-15.74,98,99,2.04,overcast clouds
198,Bilma,NE,18.6853,12.9164,64.08,14,0,6.78,clear sky
199,Vitim,RU,59.4511,112.5578,-24.84,98,39,1.34,scattered clouds
200,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,73.54,95,87,1.41,overcast clouds
201,Alofi,NU,-19.0595,-169.9187,81.0,73,100,10.94,overcast clouds
202,Esil,KZ,51.9556,66.4042,15.55,95,100,9.08,light snow
203,Airai,TL,-8.9266,125.4092,70.0,66,23,2.28,few clouds
204,Culebra,PR,18.303,-65.301,74.66,89,18,8.99,few clouds
205,Fort Beaufort,ZA,-32.7748,26.6338,66.54,86,93,2.44,overcast clouds
206,Longyearbyen,SJ,78.2186,15.6401,15.64,92,100,3.44,light snow
207,Nanakuli,US,21.3906,-158.1547,80.55,52,75,9.22,broken clouds
208,Lima,PE,-12.0432,-77.0282,71.91,75,0,12.66,clear sky
209,Tiznit,MA,29.5833,-9.5,53.2,49,0,3.47,clear sky
210,Hasaki,JP,35.7333,140.8333,39.6,60,100,29.75,overcast clouds
211,Kijang,KR,35.2442,129.2139,46.81,70,19,6.98,few clouds
212,Kencong,ID,-8.2833,113.3667,79.25,84,38,2.3,moderate rain
213,Sambava,MG,-14.2667,50.1667,73.6,93,25,4.59,scattered clouds
214,Russell,US,32.3502,-85.1999,44.2,48,0,5.75,clear sky
215,Ostrovnoy,RU,68.0531,39.5131,21.88,62,100,26.98,overcast clouds
216,La Libertad,EC,-2.2333,-80.9,78.46,73,0,8.05,clear sky
217,Nianzishan,CN,47.5167,122.8833,0.36,78,39,4.07,scattered clouds
218,Fort Nelson,CA,58.8053,-122.7002,8.06,98,100,2.53,overcast clouds
219,Pangkalanbuun,ID,-2.6833,111.6167,80.26,82,94,3.44,overcast clouds
220,Yar-Sale,RU,66.8333,70.8333,-19.26,99,100,7.47,overcast clouds
221,Soyo,AO,-6.1349,12.3689,78.42,86,100,5.32,overcast clouds
222,Strezhevoy,RU,60.7333,77.5889,-4.02,94,100,9.13,overcast clouds
223,Upernavik,GL,72.7868,-56.1549,-6.43,97,100,11.52,overcast clouds
224,Cidreira,BR,-30.1811,-50.2056,68.54,90,14,2.98,few clouds
225,Reinosa,ES,42.9996,-4.138,42.21,95,97,2.26,overcast clouds
226,Hambantota,LK,6.1241,81.1185,75.24,85,25,14.81,scattered clouds
227,Sitka,US,57.0531,-135.33,42.69,81,100,8.05,overcast clouds
228,North Bend,US,43.4065,-124.2243,54.25,94,75,8.05,broken clouds
229,Raudeberg,NO,61.9875,5.1352,38.07,96,100,18.81,overcast clouds
230,Quelimane,MZ,-17.8786,36.8883,76.95,88,40,2.3,scattered clouds
231,Solnechnyy,RU,50.7214,136.6319,12.18,87,100,5.73,overcast clouds
232,Kodinsk,RU,58.6881,99.1844,-23.67,100,22,3.33,few clouds
233,Zaragoza,ES,41.6561,-0.8773,54.05,70,75,5.75,broken clouds
234,Methoni,GR,36.8197,21.7049,52.21,76,19,0.78,few clouds
235,Te Anau,NZ,-45.4167,167.7167,66.63,46,100,0.94,overcast clouds
236,Flinders,AU,-34.5833,150.8552,84.06,57,100,5.01,overcast clouds
237,Burnie,AU,-41.0667,145.9167,78.94,45,100,6.78,overcast clouds
238,Takoradi,GH,4.8845,-1.7554,78.58,86,100,6.82,overcast clouds
239,Praya,CV,14.9215,-23.5087,72.14,78,20,16.11,few clouds
240,Emba,KZ,48.8264,58.1442,15.78,94,100,13.04,overcast clouds
241,Sola,VU,-13.8833,167.55,82.67,76,100,19.3,overcast clouds
242,Lorengau,PG,-2.0226,147.2712,84.02,72,100,2.55,overcast clouds
243,Saint-Pierre,RE,-21.3393,55.4781,78.48,78,40,10.36,scattered clouds
244,Luderitz,NA,-26.6481,15.1594,72.1,64,1,8.59,clear sky
245,Saskylakh,RU,71.9167,114.0833,-17.77,92,18,2.84,few clouds
246,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,73.33,98,99,1.5,moderate rain
247,Dzaoudzi,YT,-12.7887,45.2699,76.89,94,0,2.3,clear sky
248,Antalaha,MG,-14.9003,50.2788,72.57,91,47,5.21,scattered clouds
249,Kolyvan,RU,55.3053,82.7391,24.42,95,100,14.83,light snow
250,Makakilo City,US,21.3469,-158.0858,79.12,49,75,11.5,broken clouds
251,San Antonio,US,29.4241,-98.4936,59.16,27,0,8.05,clear sky
252,Igurusi,TZ,-8.85,33.85,64.15,90,100,2.04,overcast clouds
253,Eureka,US,40.8021,-124.1637,65.75,87,100,2.48,overcast clouds
254,Velyka Lepetykha,UA,47.1757,33.9436,31.62,61,2,6.08,clear sky
255,Namatanai,PG,-3.6667,152.4333,85.57,66,86,6.8,overcast clouds
256,Wangqing,CN,43.3218,129.7634,13.23,64,100,2.91,overcast clouds
257,Coquimbo,CL,-29.9533,-71.3436,65.93,72,0,6.91,clear sky
258,Luganville,VU,-15.5333,167.1667,84.42,75,99,9.53,overcast clouds
259,Opotiki,NZ,-38.0833,177.2833,74.52,55,99,5.21,overcast clouds
260,Ampanihy,MG,-24.7,44.75,74.61,79,0,5.1,clear sky
261,Tecolutla,MX,20.4833,-97.0167,60.66,62,8,10.13,clear sky
262,Geraldton,AU,-28.7667,114.6,81.01,69,0,4.61,clear sky
263,Komsomolskiy,UZ,40.4272,71.7189,38.12,81,100,4.61,mist
264,Devils Lake,US,48.1128,-98.8651,24.78,88,100,26.46,mist
265,Huanren,CN,41.2647,125.3667,19.45,89,100,3.98,light snow
266,Aswan,EG,24.0934,32.907,58.82,33,0,9.91,clear sky
267,Touros,BR,-5.1989,-35.4608,81.5,75,5,12.8,clear sky
268,Krasnyy Yar,RU,46.5331,48.3456,26.53,63,0,10.56,clear sky
269,Katsuura,JP,35.1333,140.3,46.11,70,98,25.21,light rain
270,Jacareacanga,BR,-6.2222,-57.7528,74.08,98,100,2.19,overcast clouds
271,Puerto Del Rosario,ES,28.5004,-13.8627,62.35,77,6,6.91,clear sky
272,Mahon,ES,39.8885,4.2658,54.16,82,75,12.66,broken clouds
