City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
537,Pivijay,CO,82.38,clear sky,10.4617,-74.6162,Hospedaje La Posada
538,Bonthe,SL,77.29,clear sky,7.5264,-12.505,Bonthe Holiday Village
539,Waingapu,ID,82.4,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
541,Axim,GH,78.33,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
542,Whyalla,AU,79.21,clear sky,-33.0333,137.5833,Foreshore Motor Inn
544,Pacific Grove,US,77.4,haze,36.6177,-121.9166,Lovers Point Inn
555,Morondava,MG,78.46,few clouds,-20.2833,44.2833,La Case Bambou
559,Manta,EC,78.58,broken clouds,-0.95,-80.7333,Balandra Hotel
575,Tumpat,MY,75.25,scattered clouds,6.1978,102.171,Baan Tanyong B&B
577,Ures,MX,81.09,clear sky,29.4333,-110.4,Hacienda Quinta Napoles
578,Madhavaram,IN,79.0,mist,13.1429,80.2325,"Vijay Park, Madhavaram"
583,Saint-Joseph,RE,77.38,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
584,Vila Velha,BR,75.15,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
591,Manggar,ID,81.05,scattered clouds,-2.8833,108.2667,Guest Hotel
592,Moju,BR,75.27,light rain,-1.8839,-48.7689,HOTEL MARTINS
598,Nelson Bay,AU,84.29,scattered clouds,-32.7167,152.15,Mantra Nelson Bay
604,Kokopo,PG,85.51,few clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
605,Buala,SB,81.55,light rain,-8.145,159.5921,Maringe Lagoon Lodge
608,Port Keats,AU,80.26,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
614,Cockburn Town,TC,78.76,few clouds,21.4612,-71.1419,Osprey Beach Hotel
618,Inirida,CO,80.73,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
620,Olinda,BR,83.93,scattered clouds,-8.0089,-34.8553,Pousada Sitio Do Carmo
622,Miri,MY,75.34,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
626,Bac Lieu,VN,81.91,scattered clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
631,Petrolina,BR,75.25,light rain,-9.3986,-40.5008,JB Hotel
637,Puerto Ayacucho,VE,83.08,broken clouds,5.6639,-67.6236,Posada Turistica Manapiare
641,Guanica,PR,78.06,clear sky,17.9716,-66.908,Copamarina Beach Resort & Spa
642,Honiara,SB,83.91,light rain,-9.4333,159.95,Heritage Park Hotel
644,Sumbe,AO,75.29,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
